0 1 2
1 2 1
0 2 2
2 3 2
? 1 1 1

5 18 1
17 18 2
16 19 1
17 19 2
18 20 1
5 20 1
15 20 2
5 21 1
15 21 2
23 24 1
22 24 2
0 4 1
3 4 2
4 5 1
3 5 2
6 8 2
5 9 1
6 9 2
4 14 1
3 14 2
14 16 1
15 16 2
0 23 1
22 23 2
29 30 2
24 32 1
21 32 1
20 32 1
1 32 1
29 32 2
24 34 1
21 34 1
20 34 1
1 34 1
33 34 2
0 2 1
0 3 1
2 3 2
3 6 2
6 7 2
5 10 1
3 10 2
3 12 2
12 13 2
14 15 1
11 15 1
3 15 2
16 17 1
11 17 1
15 17 2
0 22 1
3 22 2
0 25 1
22 25 2
0 26 1
25 26 2
0 27 1
26 27 2
24 28 1
21 28 1
20 28 1
1 28 1
2 28 2
28 29 2
29 31 2
24 33 1
21 33 1
20 33 1
1 33 1
29 33 2
2 35 2
35 36 2
? 0 0 0

0 2 1
1 2 2
0 6 1
5 6 2
9 10 1
13 14 2
0 1 1
2 3 1
1 3 2
2 4 1
3 4 2
0 5 1
6 7 1
5 7 2
6 8 1
7 8 2
10 11 1
9 12 1
12 13 2
17 19 1
18 19 2
17 23 1
22 23 2
15 16 1
17 18 1
19 20 1
18 20 2
19 21 1
20 21 2
17 22 1
23 24 1
22 24 2
23 25 1
24 25 2
? 0 0 0

1 3 1
2 3 2
2 1 2
3 4 1
0 4 1
2 4 2
1 2 1
0 2 1
4 5 1
2 5 2
80 81 1
81 82 1
82 83 1
83 84 1
84 85 1
83 85 1
91 92 1
92 93 1
93 94 1
95 96 1
96 97 1
97 98 1
99 100 1
100 101 1
101 102 1
103 104 1
104 105 1
105 106 1
107 108 1
108 109 1
109 110 1
111 112 1
112 113 1
113 114 1
115 116 1
116 117 1
117 118 1
119 120 1
120 121 1
121 122 1
123 124 1
124 125 1
125 126 1
126 127 1
133 135 1
134 135 2
128 129 1
129 130 1
130 131 1
131 132 1
134 133 2
132 136 1
135 136 1
134 136 2
136 137 1
134 137 2
133 134 1
132 134 1
138 139 1
139 140 1
140 141 1
142 143 1
143 144 1
144 145 1
146 147 1
147 148 1
148 149 1
150 151 1
151 152 1
152 153 1
154 155 1
155 156 1
156 157 1
158 159 1
159 160 1
160 161 1
162 163 1
163 164 1
164 165 1
166 167 1
167 168 1
168 169 1
170 171 1
171 172 1
172 173 1
189 191 1
188 189 1
189 190 1
193 195 1
192 193 1
193 194 1
197 199 1
197 200 1
196 197 1
197 198 1
202 204 1
202 205 1
201 202 1
202 203 1
207 209 1
207 210 1
206 207 1
207 208 1
174 175 1
175 176 1
178 180 1
177 178 1
178 179 1
181 182 1
182 183 1
26 28 1
27 28 2
28 29 1
24 29 1
27 29 2
17 18 1
18 19 1
19 20 1
19 21 1
21 22 1
22 23 1
23 24 1
25 25 1
24 25 1
27 26 2
29 30 1
27 30 2
29 31 1
27 31 2
30 33 1
32 33 2
30 34 1
33 34 1
32 34 2
20 35 1
33 35 1
34 35 1
32 35 2
30 37 1
36 37 2
30 38 1
37 38 1
36 38 2
20 39 1
38 39 1
37 39 1
36 39 2
30 41 1
40 41 2
41 42 1
30 42 1
40 42 2
42 43 1
41 43 1
20 43 1
40 43 2
29 45 1
44 45 2
30 46 1
44 46 2
30 47 1
46 47 1
44 47 2
20 48 1
47 48 1
46 48 1
44 48 2
30 50 1
49 50 2
50 51 1
30 51 1
49 51 2
51 52 1
50 52 1
20 52 1
49 52 2
26 27 1
25 27 1
31 32 1
27 32 2
31 36 1
32 36 2
31 40 1
36 40 2
31 44 1
40 44 2
31 49 1
44 49 2
31 53 1
49 53 2
31 54 1
53 54 2
31 55 1
54 55 2
185 187 1
184 185 1
185 186 1
64 66 1
65 66 2
56 57 1
57 58 1
57 59 1
59 60 1
60 61 1
61 62 1
63 63 1
62 63 1
65 64 2
66 68 1
62 68 1
67 68 2
68 69 1
67 69 2
68 70 1
67 70 2
